ct,numero,k,hIni,hFin,nrCasas,tamIntervalo,percentual,primo1,primo2,sinal,percPrimosTopo 
1,5,1,4,8,1,5,20.0000,29,31,-1,20.0000
2,7,1,8,20,2,13,15.3846,59,61,1,15.3846
3,11,2,20,28,3,9,33.3333,137,139,-1,11.1111
4,13,2,28,48,2,21,9.5238,179,181,1,4.7619
5,17,3,48,60,4,13,30.7692,311,313,-1,7.6923
6,19,3,60,88,10,29,34.4828,419,421,1,6.8966
7,23,4,88,140,7,53,13.2075,569,571,-1,1.8868
8,29,5,140,160,3,21,14.2857,857,859,-1,9.5238
9,31,5,160,228,10,69,14.4928,1019,1021,1,2.8986
10,37,6,228,280,10,53,18.8679,1427,1429,1,3.7736
11,41,7,280,308,3,29,10.3448,1697,1699,-1,3.4483
12,43,7,308,368,4,61,6.5574,1871,1873,1,1.6393
13,47,8,368,468,5,101,4.9505,2237,2239,-1,0.9901
14,53,9,468,580,27,113,23.8938,2969,2971,-1,2.6549
15,59,10,580,620,8,41,19.5122,3527,3529,-1,2.4390
16,61,10,620,748,8,129,6.2016,3767,3769,1,1.5504
17,67,11,748,840,5,93,5.3763,4517,4519,1,2.1505
18,71,12,840,888,10,49,20.4082,5099,5101,-1,4.0816
19,73,12,888,1040,15,153,9.8039,5417,5419,1,0.6536
20,79,13,1040,1148,5,109,4.5872,6269,6271,1,0.9174
21,83,14,1148,1320,10,173,5.7803,6947,6949,-1,1.7341
22,89,15,1320,1568,5,249,2.0080,7949,7951,-1,0.4016
23,97,16,1568,1700,2,133,1.5038,9419,9421,1,0.7519
24,101,17,1700,1768,12,69,17.3913,10271,10273,-1,1.4493
25,103,17,1768,1908,17,141,12.0567,10709,10711,1,0.7092
26,107,18,1908,1980,7,73,9.5890,11489,11491,-1,1.3699
27,109,18,1980,2128,10,149,6.7114,11939,11941,1,0.6711
28,113,19,2128,2688,9,561,1.6043,12821,12823,-1,0.1783
29,127,21,2688,2860,2,173,1.1561,16139,16141,1,0.5780
30,131,22,2860,3128,5,269,1.8587,17189,17191,-1,0.3717
31,137,23,3128,3220,24,93,25.8065,18911,18913,-1,3.2258
32,139,23,3220,3700,10,481,2.0790,19379,19381,1,0.2079
33,149,25,3700,3800,12,101,11.8812,22271,22273,-1,1.9802
34,151,25,3800,4108,10,309,3.2362,22859,22861,1,0.3236
35,157,26,4108,4428,45,321,14.0187,24917,24919,1,0.9346
36,163,27,4428,4648,19,221,8.5973,26681,26683,1,1.3575
37,167,28,4648,4988,5,341,1.4663,27917,27919,-1,0.2933
38,173,29,4988,5340,14,353,3.9660,30011,30013,-1,0.5666
39,179,30,5340,5460,3,121,2.4793,32057,32059,-1,0.8264
40,181,30,5460,6080,7,621,1.1272,32801,32803,1,0.3221
41,191,32,6080,6208,8,129,6.2016,36527,36529,-1,0.7752
42,193,32,6208,6468,10,261,3.8314,37307,37309,1,0.3831
43,197,33,6468,6600,19,133,14.2857,38921,38923,-1,3.0075
44,199,33,6600,7420,38,821,4.6285,39827,39829,1,0.2436
45,211,35,7420,8288,2,869,0.2301,44531,44533,1,0.1151
46,223,37,8288,8588,2,301,0.6645,49739,49741,1,0.3322
47,227,38,8588,8740,32,153,20.9150,51719,51721,-1,1.3072
48,229,38,8740,9048,17,309,5.5016,52541,52543,1,0.6472
49,233,39,9048,9520,19,473,4.0169,54401,54403,-1,0.2114
50,239,40,9520,9680,12,161,7.4534,57191,57193,-1,1.2422
51,241,40,9680,10500,5,821,0.6090,58109,58111,1,0.2436
52,251,42,10500,11008,5,509,0.9823,63029,63031,-1,0.1965
53,257,43,11008,11528,10,521,1.9194,66107,66109,-1,0.1919
54,263,44,11528,12060,4,533,0.7505,69191,69193,-1,0.1876
55,269,45,12060,12240,18,181,9.9448,72467,72469,-1,1.6575
56,271,45,12240,12788,28,549,5.1002,73607,73609,1,0.1821
57,277,46,12788,13160,17,373,4.5576,76829,76831,1,0.2681
58,281,47,13160,13348,3,189,1.5873,78977,78979,-1,0.5291
59,283,47,13348,14308,10,961,1.0406,80147,80149,1,0.1041
60,293,49,14308,15708,14,1401,0.9993,85931,85933,-1,0.1428
61,307,51,15708,16120,10,413,2.4213,94307,94309,1,0.2421
62,311,52,16120,16328,3,209,1.4354,96737,96739,-1,0.4785
63,313,52,16328,16748,7,421,1.6627,98009,98011,1,0.2375
64,317,53,16748,18260,5,1513,0.3305,100517,100519,-1,0.1322
65,331,55,18260,18928,10,669,1.4948,109619,109621,1,0.1495
66,337,56,18928,20068,9,1141,0.7888,113621,113623,1,0.0876
67,347,58,20068,20300,47,233,20.1717,120689,120691,-1,0.8584
68,349,58,20300,20768,25,469,5.3305,121949,121951,1,0.2132
69,353,59,20768,21480,27,713,3.7868,124769,124771,-1,0.2805
70,359,60,21480,22448,10,969,1.0320,128939,128941,-1,0.1032
