hi mod qi,	Rhi,	Entrada,	Saída,	Shi,	Ghi,	Falha,	5,	7,	11,	13,	17,	19,	23,	29,	31
,	q5 q7 q11 q13 q17 q19 q23 q29 q31,	,	,	,	,	,	,	,	,	,	,	,	,	,	
160 ≡ 5 (mod 31),	q5 q7 q11 q13 q17 q19 q23 q29,	q31,	,	q31,	,	18.62%,	,	,	,	,	,	,	,	,	21
161 ≡ 1 (mod 5),	q7 q11 q13 q17 q19 q23 q29,	q5,	,	q5 q31,	,	19.91%,	3,	,	,	,	,	,	,	,	20
162 ≡ 1 (mod 7),	q11 q13 q17 q19 q23 q29,	q7,	,	q5 q7 q31,	,	33.18%,	2,	5,	,	,	,	,	,	,	19
163 ≡ 9 (mod 11),	q13 q17 q19 q23 q29,	q11,	,	q5 q7 q11 q31,	,	46.46%,	1,	4,	4,	,	,	,	,	,	18
164 ≡ 4 (mod 5),	q5 q13 q17 q19 q23 q29,	,	q5,	q7 q11 q31,	q5,	34.07%,	0,	3,	3,	,	,	,	,	,	17
164 ≡ 4 (mod 5),	q13 q17 q19 q23 q29,	q5,	,	q5 q7 q11 q31,	,	,	2,	3,	3,	,	,	,	,	,	17
165 ≡ 4 (mod 23),	q13 q17 q19 q29,	q23,	,	q5 q7 q11 q23 q31,	,	56.78%,	1,	2,	2,	,	,	,	15,	,	16
166 ≡ 1 (mod 5),	q5 q13 q17 q19 q29,	,	q5,	q7 q11 q23 q31,	q5,	37.31%,	0,	1,	1,	,	,	,	14,	,	15
166 ≡ 1 (mod 5),	q13 q17 q19 q29,	q5,	,	q5 q7 q11 q23 q31,	,	,	3,	1,	1,	,	,	,	14,	,	15
167 ≡ 6 (mod 7),	,	,	,	,	q7,	,	2,	0,	0,	,	,	,	13,	,	14
167 ≡ 2 (mod 11),	q7 q11 q13 q17 q19 q29,	,	q7 q11,	,	q11,	36.34%,	,	,	,	,	,	,	,	,	
167 ≡ 11 (mod 13),	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
167≡ 14 (mod 17),	q19 q29,	q7 q11 q13 q17,	,	q5 q7 q11 q13 q17q23 q31,	,	,	2,	2,	7,	4,	6,	,	13,	,	14
168 ≡ 16 (mod 19),	q29,	q19,	,	q5 q7 q11 q13 q17 q19 q23 q31,	,	83.30%,	1,	1,	6,	3,	5,	6,	12,	,	13
169 ≡ 4 (mod 5),	,	,	,	,	q5,	,	0,	0,	5,	2,	4,	5,	11,	,	12
169 ≡ 1 (mod 7),	q5 q7 q29,	,	q5 q7,	,	q7,	39.90%,	,	,	,	,	,	,	,	,	
169 ≡ 24 (mod 29),	,	q5 q7 q29,	,	q5 q7 q11 q13 q17 q19 q23 q29 q31,	,	,	2,	5,	5,	2,	4,	5,	11,	10,	12
,	,	,	,	,	,	100%,	1,	4,	4,	1,	3,	4,	10,	9,	11



